CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-02 00:00:00,2.0,5920.0,0.0,42.0,544148000.0,320072000.0,34.0,56.0,46.5,202902207.90572482,201794395.57097012,238053.9449721418,236121.65664764072
2018-08-02 00:15:00,2.0,5902.0,3.0,43.0,544464000.0,319756000.0,34.0,56.0,46.5,167836833.7643827,167178020.02130103,197574.7676249496,196201.46460654994
2018-08-02 00:30:00,3.0,5853.0,0.0,41.0,544476000.0,319744000.0,34.0,56.0,46.5,157824580.27016345,157020854.55113855,186331.06133001673,184840.34426662335
2018-08-02 00:45:00,1.0,5786.0,2.0,38.0,544544000.0,319676000.0,34.0,56.0,46.333333333333336,134550347.86035624,133591602.58569714,159823.7941423649,158262.0222138691
2018-08-02 01:00:00,2.0,5770.0,1.0,40.0,544316000.0,319904000.0,38.0,56.0,47.166666666666664,119163284.5783869,118249310.71680735,141359.2840341202,139911.87503588048
2018-08-02 01:15:00,2.0,5757.0,4.0,44.0,544728000.0,319488000.0,34.0,56.0,46.333333333333336,106437990.34039883,105804527.26727203,126923.08629859598,125982.07456623203
2018-08-02 01:30:00,5.0,5740.0,2.0,42.0,545028000.0,319192000.0,34.0,56.0,46.166666666666664,92697116.42945872,92304736.83201505,111004.29658216832,110137.46345963291
2018-08-02 01:45:00,3.0,5725.0,1.0,42.0,545460000.0,318760000.0,34.0,56.0,46.166666666666664,84781006.71085435,84121296.45854343,101779.79832989755,100782.09368193115
2018-08-02 02:00:00,2.0,5705.0,0.0,39.0,545460000.0,318756000.0,34.0,56.0,46.166666666666664,76542047.96324204,75920717.76798925,91986.21377661447,91061.4900551197
2018-08-02 02:15:00,5.0,5689.0,3.0,41.0,545648000.0,318572000.0,34.0,56.0,46.166666666666664,70312365.34628046,69571171.92574401,85435.75065741666,84230.92359069055
2018-08-02 02:30:00,3.0,5691.0,0.0,42.0,546084000.0,318136000.0,34.0,56.0,46.0,61546678.634501606,60999409.25284682,75938.73328870963,74977.66271953686
2018-08-02 02:45:00,2.0,5670.0,1.0,42.0,546564000.0,317648000.0,34.0,56.0,46.0,59566800.85199532,59022330.378500015,73146.29888792869,72209.11291008483
2018-08-02 03:00:00,1.0,5665.0,0.0,41.0,546228000.0,317992000.0,34.0,56.0,46.166666666666664,53002959.46316142,52518254.061101794,66225.71019673854,65249.04567273012
2018-08-02 03:15:00,4.0,5678.0,1.0,40.0,546216000.0,318004000.0,34.0,55.0,45.833333333333336,50369649.08895464,49965108.69379802,63265.279110812524,62396.25562946749
2018-08-02 03:30:00,1.0,5657.0,0.0,38.0,546240000.0,317980000.0,34.0,56.0,46.0,46660610.94454396,46437168.667625785,59471.65870799545,58703.502918868355
2018-08-02 03:45:00,2.0,5659.0,0.0,40.0,546236000.0,317976000.0,34.0,55.0,46.0,42570297.859764114,42340660.24989822,54883.887008874364,54107.91833987748
2018-08-02 04:00:00,7.0,5655.0,1.0,38.0,545808000.0,318412000.0,34.0,55.0,45.833333333333336,39555436.4986675,39312202.51220716,51502.23113538942,50720.36297302966
2018-08-02 07:00:00,3.0,5856.0,3.0,45.0,545848000.0,318372000.0,34.0,55.0,45.833333333333336,90874926.17482683,89844593.30294953,127902.6084800114,126430.57899805748
2018-08-02 07:15:00,1.0,5914.0,1.0,43.0,545864000.0,318356000.0,34.0,55.0,45.833333333333336,105528942.4198719,104750071.51605707,127561.09537727931,126045.31042927793
2018-08-02 07:30:00,3.0,5938.0,1.0,45.0,545832000.0,318388000.0,34.0,55.0,45.833333333333336,117712137.9857912,117142587.80351266,141053.9539117236,139735.26115946463
2018-08-02 07:45:00,1.0,5979.0,1.0,44.0,545872000.0,318348000.0,34.0,55.0,45.833333333333336,128117308.8366981,127829099.21748944,152712.45854086988,151524.83581267434
2018-08-02 08:45:00,1.0,6392.0,0.0,47.0,545884000.0,318324000.0,34.0,55.0,45.833333333333336,154426434.03913212,153451697.91481262,183141.28941165123,181517.14861786325
2018-08-02 09:00:00,6.0,6570.0,1.0,49.0,545692000.0,318504000.0,34.0,55.0,45.833333333333336,166932120.80596748,165399534.22054538,197504.33762647468,195420.79570519304
2018-08-02 09:15:00,3.0,6698.0,1.0,51.0,545692000.0,318528000.0,34.0,55.0,45.833333333333336,165695216.07221043,165046818.54017305,196837.184261151,195362.29568091917
2018-08-02 09:30:00,5.0,6878.0,1.0,51.0,545748000.0,318472000.0,34.0,55.0,45.833333333333336,188706276.2325492,187615338.2566016,226187.90190845059,224685.78483394
2018-08-02 09:45:00,6.0,7031.0,2.0,54.0,545232000.0,318980000.0,34.0,55.0,45.833333333333336,217762481.76400232,216170733.73412204,260401.40671680638,258153.8778058718
2018-08-02 10:00:00,4.0,7129.0,3.0,56.0,545224000.0,318992000.0,34.0,55.0,45.833333333333336,227873290.54734576,226592834.8017265,274604.17264312174,272344.01615702896
2018-08-02 10:15:00,7.0,7202.0,3.0,56.0,545228000.0,318940000.0,34.0,55.0,45.833333333333336,249425056.1560919,248032792.15554148,298819.4261465598,296594.9687267142
2018-08-02 10:30:00,8.0,7285.0,1.0,59.0,545184000.0,319032000.0,34.0,55.0,45.833333333333336,255436649.9183123,254100058.74143744,305966.55350145657,303859.38584982447
2018-08-02 10:45:00,2.0,7317.0,1.0,55.0,545220000.0,319000000.0,34.0,56.0,46.0,267254669.02279508,265816572.53699836,321521.7398048851,319234.04599040106
2018-08-02 11:00:00,4.0,7355.0,3.0,59.0,545248000.0,318968000.0,34.0,56.0,46.166666666666664,270267906.18238807,268344038.87495756,324756.98944008833,322403.8046254374
2018-08-02 11:15:00,4.0,7333.0,0.0,61.0,545244000.0,318972000.0,34.0,56.0,46.333333333333336,261985355.73493016,260463959.1616561,316865.70344651374,314754.2573565572
2018-08-02 11:30:00,2.0,7285.0,4.0,56.0,545168000.0,319044000.0,34.0,56.0,46.166666666666664,259226910.60867712,257439446.5345953,313488.3950907094,311031.16444632225
2018-08-02 11:45:00,2.0,7336.0,3.0,57.0,545168000.0,319052000.0,34.0,56.0,46.166666666666664,252203340.38843703,250395452.62900478,306964.94706716586,304233.1291445597
